subfolder,filename,jobs,machines,T_star,Cmax,ratio_lp
instancias100a200,1046.txt,1000,40,2656.0,2552.0,1.0407523510971788
instancias1a100,1011.txt,1000,10,1008.0,977.0,1.0317297850562948
instancias1a100,1012.txt,1000,10,960.0,905.0,1.0607734806629834
instancias1a100,1013.txt,1000,10,1017.0,978.0,1.039877300613497
instancias1a100,1014.txt,1000,10,976.0,960.0,1.0166666666666666
instancias1a100,1015.txt,1000,10,977.0,964.0,1.0134854771784232
instancias1a100,1016.txt,1000,10,992.0,974.0,1.0184804928131417
instancias1a100,1017.txt,1000,10,985.0,942.0,1.045647558386412
instancias1a100,1018.txt,1000,10,1032.0,990.0,1.0424242424242425
instancias1a100,1019.txt,1000,10,976.0,937.0,1.0416221985058698
instancias1a100,1020.txt,1000,10,1085.0,986.0,1.1004056795131847
instancias1a100,1021.txt,1000,20,273.0,258.0,1.058139534883721
instancias1a100,1022.txt,1000,20,292.0,267.0,1.0936329588014981
instancias1a100,1023.txt,1000,20,269.0,253.0,1.0632411067193677
instancias1a100,1024.txt,1000,20,289.0,266.0,1.086466165413534
instancias1a100,1025.txt,1000,20,289.0,276.0,1.0471014492753623
instancias1a100,1026.txt,1000,20,279.0,267.0,1.0449438202247192
instancias1a100,1027.txt,1000,20,310.0,279.0,1.1111111111111112
instancias1a100,1028.txt,1000,20,291.0,272.0,1.0698529411764706
instancias1a100,1029.txt,1000,20,284.0,267.0,1.0636704119850187
instancias1a100,1030.txt,1000,20,291.0,260.0,1.1192307692307693
instancias1a100,1031.txt,1000,30,139.0,129.0,1.0775193798449612
instancias1a100,1032.txt,1000,30,149.0,137.0,1.0875912408759123
instancias1a100,1033.txt,1000,30,142.0,123.0,1.1544715447154472
instancias1a100,1034.txt,1000,30,136.0,126.0,1.0793650793650793
instancias1a100,1035.txt,1000,30,146.0,128.0,1.140625
instancias1a100,1036.txt,1000,30,140.0,125.0,1.12
instancias1a100,1037.txt,1000,30,145.0,128.0,1.1328125
instancias1a100,1038.txt,1000,30,141.0,126.0,1.119047619047619
instancias1a100,1039.txt,1000,30,143.0,128.0,1.1171875
instancias1a100,1040.txt,1000,30,145.0,127.0,1.141732283464567
instancias1a100,1041.txt,1000,40,93.0,74.0,1.2567567567567568
instancias1a100,1042.txt,1000,40,87.0,74.0,1.1756756756756757
instancias1a100,1043.txt,1000,40,90.0,77.0,1.1688311688311688
instancias1a100,1044.txt,1000,40,87.0,75.0,1.16
