subfolder,filename,jobs,machines,T_star,Cmax,ratio_lp
instancias1a100,1011.txt,1000,10,996.0,977.0,1.0194472876151484
instancias1a100,1012.txt,1000,10,919.0,905.0,1.0154696132596686
instancias1a100,1013.txt,1000,10,1001.0,978.0,1.0235173824130879
instancias1a100,1014.txt,1000,10,991.0,960.0,1.0322916666666666
instancias1a100,1015.txt,1000,10,978.0,964.0,1.0145228215767634
instancias1a100,1016.txt,1000,10,1011.0,974.0,1.037987679671458
instancias1a100,1017.txt,1000,10,985.0,942.0,1.045647558386412
instancias1a100,1018.txt,1000,10,1032.0,990.0,1.0424242424242425
instancias1a100,1019.txt,1000,10,976.0,937.0,1.0416221985058698
instancias1a100,1020.txt,1000,10,1013.0,986.0,1.0273833671399595
instancias1a100,1021.txt,1000,20,268.0,258.0,1.0387596899224807
instancias1a100,1022.txt,1000,20,286.0,267.0,1.0711610486891385
instancias1a100,1023.txt,1000,20,269.0,253.0,1.0632411067193677
instancias1a100,1024.txt,1000,20,286.0,266.0,1.0751879699248121
instancias1a100,1025.txt,1000,20,289.0,276.0,1.0471014492753623
instancias1a100,1026.txt,1000,20,285.0,267.0,1.0674157303370786
instancias1a100,1027.txt,1000,20,293.0,279.0,1.050179211469534
instancias1a100,1028.txt,1000,20,291.0,272.0,1.0698529411764706
instancias1a100,1029.txt,1000,20,283.0,267.0,1.0599250936329587
instancias1a100,1030.txt,1000,20,279.0,260.0,1.073076923076923
instancias1a100,1031.txt,1000,30,146.0,129.0,1.1317829457364341
instancias1a100,1032.txt,1000,30,156.0,137.0,1.1386861313868613
instancias1a100,1033.txt,1000,30,137.0,123.0,1.113821138211382
instancias1a100,1034.txt,1000,30,137.0,126.0,1.0873015873015872
instancias1a100,1035.txt,1000,30,145.0,128.0,1.1328125
instancias1a100,1036.txt,1000,30,140.0,125.0,1.12
instancias1a100,1037.txt,1000,30,145.0,128.0,1.1328125
instancias1a100,1038.txt,1000,30,141.0,126.0,1.119047619047619
instancias1a100,1039.txt,1000,30,141.0,128.0,1.1015625
instancias1a100,1040.txt,1000,30,140.0,127.0,1.1023622047244095
instancias1a100,1041.txt,1000,40,81.0,74.0,1.0945945945945945
instancias1a100,1042.txt,1000,40,85.0,74.0,1.1486486486486487
instancias1a100,1043.txt,1000,40,90.0,77.0,1.1688311688311688
instancias1a100,1044.txt,1000,40,84.0,75.0,1.12
instancias1a100,1045.txt,1000,40,87.0,77.0,1.12987012987013
instancias1a100,1046.txt,1000,40,85.0,75.0,1.1333333333333333
instancias1a100,1047.txt,1000,40,86.0,77.0,1.1168831168831168
instancias1a100,1048.txt,1000,40,88.0,75.0,1.1733333333333333
instancias1a100,1049.txt,1000,40,87.0,76.0,1.144736842105263
instancias1a100,1050.txt,1000,40,82.0,74.0,1.1081081081081081
instancias1a100,1051.txt,1000,50,58.0,51.0,1.1372549019607843
instancias1a100,1052.txt,1000,50,59.0,49.0,1.2040816326530612
instancias1a100,1053.txt,1000,50,57.0,51.0,1.1176470588235294
